url	sample
https://www.encodeproject.org/files/ENCFF270GKY/@@download/ENCFF920CNZ.fastq.gz	ENCFF920CNZ
https://www.encodeproject.org/files/ENCFF270GKY/@@download/ENCFF320FJX.fastq.gz	ENCFF320FJX
https://www.encodeproject.org/files/ENCFF270GKY/@@download/ENCFF528EVC.fastq.gz	ENCFF528EVC
https://www.encodeproject.org/files/ENCFF270GKY/@@download/ENCFF663SNC.fastq.gz	ENCFF663SNC
https://www.encodeproject.org/files/ENCFF270GKY/@@download/ENCFF270GKY.fastq.gz	ENCFF270GKY
https://www.encodeproject.org/files/ENCFF270GKY/@@download/ENCFF460TCF.fastq.gz	ENCFF460TCF
https://www.encodeproject.org/files/ENCFF270GKY/@@download/ENCFF126IRS.fastq.gz	ENCFF126IRS
https://www.encodeproject.org/files/ENCFF270GKY/@@download/ENCFF748SRJ.fastq.gz	ENCFF748SRJ
