Compare_ID	A.cluster_names	A.number_of_pools	B.cluster_names	B.number_of_pools	Repeat
Mesoderm_vs_Neuroectoderm_10	Ect_caudal_neuroectoderm,Ect_For_mid_hindbrain,Ect_Neural_crest	10	M_Mesoderm_unknown,M_Mesenchyme,M_Paraxial_Mesoderm,M_Intermediate_Mesoderm	10	50
Mesoderm_vs_Neuroectoderm_15	Ect_caudal_neuroectoderm,Ect_For_mid_hindbrain,Ect_Neural_crest	15	M_Mesoderm_unknown,M_Mesenchyme,M_Paraxial_Mesoderm,M_Intermediate_Mesoderm	15	50
Mesoderm_vs_Neuroectoderm_20	Ect_caudal_neuroectoderm,Ect_For_mid_hindbrain,Ect_Neural_crest	20	M_Mesoderm_unknown,M_Mesenchyme,M_Paraxial_Mesoderm,M_Intermediate_Mesoderm	20	50
Mesoderm_vs_Neuroectoderm_25	Ect_caudal_neuroectoderm,Ect_For_mid_hindbrain,Ect_Neural_crest	25	M_Mesoderm_unknown,M_Mesenchyme,M_Paraxial_Mesoderm,M_Intermediate_Mesoderm	25	50
Mesoderm_vs_Neuroectoderm_30	Ect_caudal_neuroectoderm,Ect_For_mid_hindbrain,Ect_Neural_crest	30	M_Mesoderm_unknown,M_Mesenchyme,M_Paraxial_Mesoderm,M_Intermediate_Mesoderm	30	50
